"x"
-0.19
-0.35
-0.3
-0.12
-0.42
-0.46
-0.38
-0.22
-0.04
-0.08
-0.17
-0.14
-0.06
-0.19
-0.42
-0.21
0.07
-0.07
-0.1
-0.36
-0.11
0
-0.42
-0.47
-0.49
-0.29
-0.11
-0.52
-0.31
-0.53
-0.46
-0.35
-0.14
-0.5
-0.24
-0.13
-0.51
-0.5
-0.46
-0.4
-0.26
-0.15
-0.16
-0.25
-0.2
-0.27
-0.21
-0.14
-0.32
-0.39
-0.11
0.15
-0.14
-0.31
-0.02
-0.14
0.04
0.15
-0.07
0
0.16
0.21
0.1
-0.07
0.17
0.08
-0.05
0
0.04
-0.2
-0.07
-0.02
0.16
0.25
-0.04
-0.1
-0.2
0.12
0.05
0.14
0.18
0.18
-0.13
-0.04
-0.09
-0.2
0.06
-0.06
-0.04
-0.04
0.02
-0.14
-0.1
0.16
-0.18
-0.08
-0.2
0.22
-0.14
0.07
0.18
0.28
0.01
0.1
0.09
0
0.14
0.16
0.4
0.24
0.48
0.47
0.04
0.22
0.41
0.5
0.25
0.49
0.72
0.34
0.44
0.51
0.68
0.54
0.47
0.78
0.81
0.65
0.61
0.66
0.84
0.76
0.94
0.78
0.81
1.06
1.13
0.93
0.86
1.2
1.14
1.21
1.13
1.2
1.54
NA
-0.23
0.08
-0.29
-0.07
-0.41
-0.35
-0.15
-0.26
-0.01
-0.08
-0.25
-0.13
-0.39
-0.15
-0.21
-0.2
-0.01
0.03
-0.13
-0.18
-0.13
0
-0.34
-0.44
-0.6
-0.23
-0.27
-0.42
-0.37
-0.46
-0.4
-0.39
-0.53
-0.53
-0.35
-0.1
-0.35
-0.33
-0.35
-0.34
-0.26
-0.04
-0.28
-0.3
-0.23
-0.27
-0.2
-0.09
-0.11
-0.36
-0.03
0.08
-0.14
-0.13
-0.04
-0.04
0.08
0.15
-0.02
0.05
0.15
0.25
-0.01
-0.02
0.14
0.06
-0.04
-0.03
0.01
-0.11
-0.18
0.08
0.14
0.22
-0.11
-0.05
-0.19
0.11
0.05
0.05
0.09
0.06
0.1
0.1
-0.13
-0.18
0.11
0.04
-0.08
0.06
-0.04
-0.13
-0.05
0.04
-0.12
-0.06
-0.27
0.08
-0.07
0.05
0.13
0.09
0.04
0.2
0.09
-0.08
-0.02
0.25
0.42
0.32
0.33
0.43
-0.1
0.12
0.33
0.37
0.29
0.41
0.75
0.35
0.41
0.63
0.66
0.68
0.5
0.75
0.69
0.65
0.6
0.69
0.89
0.71
0.85
0.69
0.77
0.92
1.05
0.98
0.93
1.03
1.1
1.08
1.07
1.45
1.42
NA
-0.28
-0.07
-0.17
-0.24
-0.52
-0.42
-0.44
-0.56
-0.22
-0.22
-0.4
-0.13
-0.34
-0.35
-0.27
-0.28
-0.12
-0.07
-0.19
-0.07
-0.1
-0.17
-0.3
-0.57
-0.55
-0.24
-0.16
-0.39
-0.58
-0.37
-0.41
-0.44
-0.78
-0.48
-0.29
-0.17
-0.38
-0.41
-0.38
-0.31
-0.32
-0.3
-0.37
-0.3
-0.28
-0.21
-0.07
-0.17
-0.19
-0.21
0.02
0.09
-0.07
-0.14
-0.1
-0.07
0.02
0.16
0.08
0.08
0.06
0.19
-0.08
0.1
0.17
0.28
-0.1
-0.04
0.03
-0.04
-0.2
0.22
0.07
0.18
-0.01
0.07
-0.28
0.16
0.13
0.1
0.11
0.05
0.03
0.14
-0.23
-0.2
0.14
0.06
-0.08
0.05
-0.05
-0.16
-0.08
0.03
-0.11
-0.13
-0.21
0.02
-0.14
0.04
0.09
0.16
-0.07
0.25
0.05
-0.02
0.04
0.27
0.26
0.26
0.41
0.35
-0.07
0.02
0.32
0.53
0.18
0.48
0.72
0.3
0.47
0.68
0.55
0.86
0.55
0.69
0.69
0.73
0.58
0.72
0.86
0.71
0.76
0.74
0.91
1.01
1.12
1.02
0.9
1.11
1.12
1.03
1.17
1.57
1.43
NA
