"Period","DJF","MAM","JJA","SON"
"1921-1950",0.0567205747126437,0.0307379310344828,0.0213109195402299,0.0279872413793103
"1951-1980",0.0501522988505747,0.0251034482758621,0.0144206896551724,0.026381724137931
"1981-2010",0.0796093103448276,0.0761305747126437,0.0677748275862069,0.111321954022989
