"Period","Mean_DJF","Var_DJF","Mean_MAM","Var_MAM","Mean_JJA","Var_JJA","Mean_SON","Var_SON"
"1921-1950",-0.0396666666666667,0.0567205747126437,-0.05,0.0307379310344828,-0.0616666666666667,0.0213109195402299,0.073,0.0279872413793103
"1951-1980",-0.00166666666666667,0.0501522988505747,1.85037170770859e-18,0.0251034482758621,-3.70074341541719e-18,0.0144206896551724,-0.000999999999999995,0.026381724137931
"1981-2010",0.521,0.0796093103448276,0.507333333333333,0.0761305747126437,0.399,0.0677748275862069,0.427666666666667,0.111321954022989
